label,frequency,percent
Units,878,11.492146596858639
UI,702,9.188481675392671
Campaign (any),543,7.107329842931937
Graphics,396,5.183246073298429
Building,334,4.371727748691099
Unit Tests,318,4.162303664921466
Lua API,308,4.031413612565445
Enhancement,249,3.259162303664921
Schema,240,3.1413612565445024
MP,231,3.0235602094240837
Add-ons,185,2.4214659685863875
Backport,183,2.3952879581151834
Editor,172,2.2513089005235605
Help,170,2.225130890052356
Translations,164,2.1465968586387434
Terrain,157,2.054973821989529
Bug,151,1.9764397905759161
AI,143,1.8717277486910995
Campaign EI,140,1.832460732984293
Prose,136,1.780104712041885
WML Tools,127,1.6623036649214658
macOS,111,1.4528795811518325
Engine,103,1.3481675392670156
CMake,97,1.2696335078534031
WFL,92,1.2041884816753925
Docs,85,1.112565445026178
SCons,84,1.0994764397905759
WML,74,0.968586387434555
Campaign UtBS,56,0.7329842931937173
Fwdport,54,0.7068062827225131
CI,53,0.693717277486911
Campaign TDG,52,0.6806282722513088
Ready for testing,52,0.6806282722513088
Packaging,47,0.6151832460732984
Achievements,41,0.5366492146596858
Campaign HttT,41,0.5366492146596858
Campaign TSG,39,0.5104712041884817
Campaign WoF,36,0.4712041884816754
Campaign THoT,31,0.40575916230366493
Campaign SotBE,30,0.3926701570680628
MP Lobby,26,0.3403141361256544
Input,26,0.3403141361256544
Campaign WC,26,0.3403141361256544
Windows,24,0.31413612565445026
Campaign DiD,23,0.3010471204188481
Stable 1.14,23,0.3010471204188481
Audio,22,0.28795811518324604
Campaign Tutorial,22,0.28795811518324604
Stable 1.18,19,0.24869109947643978
Campaign SoF,19,0.24869109947643978
Services,19,0.24869109947643978
Android,18,0.2356020942408377
Campaign L,17,0.22251308900523561
Campaign NR,16,0.20942408376963353
Campaign SotA,16,0.20942408376963353
Campaign TRoW,15,0.1963350785340314
Campaign AToTB,14,0.18324607329842932
Command Line,14,0.18324607329842932
Replays,13,0.1701570680628272
Regression,13,0.1701570680628272
In-progress,13,0.1701570680628272
Campaign DW,12,0.15706806282722513
Campaign LoW,11,0.14397905759162302
Invalid,11,0.14397905759162302
Low Priority,10,0.13089005235602094
AI/LLM assisted,9,0.11780104712041885
Postponed,9,0.11780104712041885
Campaign DM,9,0.11780104712041885
Network,8,0.10471204188481677
Blocker: New Stable,8,0.10471204188481677
Squash,6,0.07853403141361257
Stable 1.16,6,0.07853403141361257
Linux,5,0.06544502617801047
Docker,5,0.06544502617801047
iOS,4,0.052356020942408384
Needs more info,3,0.03926701570680628
Needs Rebase,3,0.03926701570680628
Steam,2,0.026178010471204192
Security,2,0.026178010471204192
Whiteboard,2,0.026178010471204192
Units Database,2,0.026178010471204192
Won't fix,2,0.026178010471204192
Confirmed,2,0.026178010471204192
High Priority,2,0.026178010471204192
dependencies,1,0.013089005235602096
Question,1,0.013089005235602096
Unconfirmed,1,0.013089005235602096
Good first issue,1,0.013089005235602096
